Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;R Elbow;R Wrist;R Hand;R Hand Tip;
1523791443287;0.156068 0.525563 3.51413;0.183696 0.370735 3.4742;0.175085 0.281968 3.47529;0.148147 0.0118599 3.46862;0.110874 -0.353868 3.4495;0.209343 0.217731 3.30506;-0.0110501 0.0420364 3.30506;-0.234934 -0.0836723 3.12374;-0.269467 -0.107263 3.10708;-0.333796 -0.169838 3.08433;
1523791443321;0.156086 0.525497 3.51396;0.183519 0.370755 3.47503;0.174965 0.28204 3.47593;0.148156 0.0119672 3.46881;0.110998 -0.353739 3.44943;0.208784 0.218068 3.30499;-0.012065 0.0419455 3.30499;-0.236959 -0.081684 3.12387;-0.271425 -0.103965 3.10946;-0.334498 -0.166512 3.08645;
1523791443352;0.156022 0.52517 3.51365;0.18353 0.370733 3.47681;0.175059 0.282216 3.47707;0.148437 0.0124738 3.46894;0.112441 -0.351527 3.44738;0.20859 0.217711 3.30535;-0.0498529 0.0234762 3.30535;-0.271155 -0.0995746 3.10843;-0.280936 -0.103559 3.10863;-0.343455 -0.162505 3.08711;
1523791443384;0.156487 0.525738 3.51622;0.183492 0.370893 3.47712;0.174962 0.282409 3.47758;0.14815 0.0127067 3.46991;0.111636 -0.351677 3.44923;0.208791 0.217501 3.30591;-0.027085 0.0388449 3.30591;-0.246653 -0.0854317 3.118;-0.282972 -0.100063 3.11044;-0.344624 -0.160893 3.0923;
1523791443419;0.156712 0.52553 3.51688;0.183381 0.370582 3.47746;0.174892 0.282294 3.47778;0.148137 0.0128945 3.46991;0.111732 -0.350297 3.4485;0.208374 0.217966 3.30597;-0.0260926 0.0392549 3.30597;-0.246508 -0.0831398 3.11746;-0.283066 -0.094371 3.11256;-0.344366 -0.152329 3.08993;
1523791443454;0.157089 0.526056 3.51817;0.1834 0.370913 3.47774;0.17497 0.282639 3.47794;0.14865 0.0137112 3.46936;0.113531 -0.348885 3.44553;0.207477 0.218541 3.30604;-0.0502676 0.0283246 3.30604;-0.270179 -0.0941911 3.10854;-0.28358 -0.0870994 3.11307;-0.344555 -0.14487 3.08484;
1523791443485;0.157194 0.52659 3.51903;0.183547 0.371338 3.47764;0.175164 0.283337 3.47781;0.149041 0.015652 3.46898;0.113884 -0.3457 3.44515;0.207582 0.218612 3.30643;-0.0512335 0.0286443 3.30643;-0.27207 -0.0929827 3.10884;-0.284533 -0.0832804 3.11616;-0.342486 -0.141887 3.09193;
1523791443519;0.156479 0.526744 3.51948;0.183701 0.371643 3.47791;0.175332 0.283612 3.47803;0.149238 0.0157989 3.46901;0.114126 -0.345789 3.44507;0.207558 0.218711 3.30654;-0.0535051 0.0294495 3.30654;-0.275994 -0.0914255 3.11055;-0.361782 -0.110481 3.11038;-0.430517 -0.152957 3.10438;
1523791443552;0.156731 0.526858 3.51967;0.183606 0.371713 3.47835;0.175218 0.283787 3.47841;0.149047 0.016316 3.46917;0.113627 -0.344735 3.44497;0.207689 0.21889 3.30688;-0.055344 0.0302421 3.30688;-0.306733 -0.079145 3.11952;-0.369681 -0.108986 3.11228;-0.438241 -0.157947 3.11017;
1523791443587;0.156457 0.52699 3.51916;0.183685 0.372067 3.47916;0.175308 0.284154 3.47927;0.149179 0.0166021 3.46993;0.113757 -0.34478 3.44584;0.207313 0.218357 3.30731;-0.0557899 0.0309039 3.30731;-0.290261 -0.0683467 3.11454;-0.371732 -0.102001 3.11219;-0.444685 -0.137077 3.11141;
1523791443623;0.156468 0.527155 3.51948;0.183939 0.372255 3.47928;0.17554 0.284354 3.47933;0.149405 0.0168517 3.46976;0.113934 -0.344614 3.44535;0.207494 0.218163 3.30739;-0.0569579 0.0313286 3.30739;-0.29106 -0.0684155 3.11404;-0.373188 -0.101288 3.10953;-0.448677 -0.134378 3.11061;
1523791443653;0.156083 0.527491 3.51901;0.184203 0.372738 3.47898;0.17584 0.284807 3.47901;0.149861 0.0171876 3.46927;0.114559 -0.344699 3.44472;0.207521 0.218238 3.30744;-0.0569671 0.0337023 3.30744;-0.289361 -0.0711469 3.11502;-0.374808 -0.0985035 3.11233;-0.444274 -0.139318 3.10565;
1523791443685;0.156542 0.527721 3.51987;0.184191 0.372757 3.47887;0.175861 0.284731 3.47891;0.15025 0.0159833 3.469;0.116211 -0.350618 3.44454;0.208016 0.217772 3.30811;-0.0583312 0.0358711 3.30811;-0.294026 -0.0610546 3.11432;-0.374862 -0.0957947 3.11235;-0.450483 -0.131118 3.1094;
1523791443720;0.155923 0.527698 3.51938;0.184243 0.372926 3.47886;0.175942 0.285035 3.4789;0.150434 0.0170572 3.46905;0.11632 -0.346855 3.44492;0.207853 0.217418 3.30813;-0.058458 0.036132 3.30813;-0.294582 -0.0608642 3.11569;-0.376265 -0.0951208 3.11048;-0.449019 -0.128964 3.11014;
