Time;Head;Neck;Spine Shoulder;Spine Mid;Spine Base;R Shoulder;L Shoulder;R Elbow;L Elbow;R Wrist;L Wrist;R Hand;L Hand;R Foot;L Foot;Frame No.;
1525195556583;0.250481 0.502062 2.79842;0.255628 0.337346 2.76223;0.2551 0.257178 2.76706;0.252302 0.0121529 2.77162;0.246886 -0.321274 2.76726;0.430605 0.233533 2.76463;0.0865355 0.241303 2.83749;0.553766 0.00720759 2.76463;-0.0473104 0.00997205 2.92475;0.592419 0.216704 2.66282;-0.0953276 0.220726 2.77134;0.585577 0.28006 2.63912;-0.116357 0.284555 2.74573;0.4961 -1.29158 2.67773;0.0806159 -1.28485 2.70309;166;
1525195556650;0.246619 0.503488 2.80351;0.253513 0.339262 2.76391;0.253174 0.258884 2.7687;0.250962 0.0132564 2.77314;0.246281 -0.320834 2.76854;0.428818 0.234581 2.76542;0.0843023 0.241199 2.8388;0.552769 0.0126516 2.76542;-0.0480739 0.00849479 2.92491;0.590796 0.218003 2.66284;-0.0969294 0.220371 2.77126;0.583215 0.284433 2.63713;-0.11691 0.283389 2.74717;0.496233 -1.29203 2.67853;0.0808551 -1.28514 2.70399;167;
1525195556919;0.24512 0.505815 2.80595;0.251819 0.343533 2.76678;0.251717 0.262571 2.77114;0.250189 0.0153605 2.77447;0.246187 -0.320264 2.76887;0.427927 0.235782 2.76634;0.0826868 0.242056 2.83814;0.552444 0.0131379 2.76634;-0.0493362 0.00911298 2.92418;0.589887 0.218378 2.66313;-0.0980576 0.219992 2.77052;0.581154 0.285271 2.63612;-0.116812 0.284871 2.73701;0.497013 -1.29219 2.67743;0.08096 -1.28502 2.70379;168;
1525195556952;0.24466 0.506197 2.8064;0.250313 0.345083 2.76931;0.250418 0.264063 2.77339;0.249518 0.016552 2.7759;0.246212 -0.319666 2.76936;0.427339 0.236916 2.76795;0.0815848 0.24269 2.83771;0.552297 0.0136183 2.76795;-0.0458558 0.0107357 2.92063;0.589476 0.219056 2.66364;-0.0986281 0.219887 2.76994;0.585073 0.287012 2.64105;-0.11668 0.284052 2.73575;0.496791 -1.29159 2.6777;0.0809769 -1.28469 2.70422;169;
1525195556986;0.244006 0.506992 2.80724;0.249784 0.346579 2.77034;0.249884 0.265532 2.7744;0.24905 0.0178365 2.77679;0.24604 -0.318898 2.76987;0.426921 0.23799 2.76961;0.0794328 0.244272 2.83809;0.552931 0.0153904 2.76961;-0.0443971 0.0124123 2.91941;0.58914 0.219974 2.66445;-0.0992647 0.219362 2.76857;0.585128 0.291043 2.64197;-0.114479 0.282903 2.73106;0.496768 -1.29166 2.6778;0.0810928 -1.28508 2.70453;170;
1525195557164;0.243615 0.507688 2.80677;0.249795 0.346725 2.77049;0.249881 0.265721 2.77458;0.249007 0.0181632 2.77707;0.246026 -0.318464 2.77019;0.426824 0.238814 2.77029;0.078596 0.245005 2.83569;0.552248 0.0196819 2.77029;-0.0440279 0.012272 2.91877;0.589643 0.222421 2.66666;-0.099402 0.217934 2.7625;0.586159 0.295829 2.64563;-0.114393 0.283265 2.72213;0.496599 -1.291 2.67802;0.0808868 -1.28529 2.70367;171;
1525195557300;0.243534 0.509021 2.80544;0.249818 0.347477 2.77144;0.249932 0.266479 2.7755;0.249171 0.0189022 2.77787;0.246434 -0.317838 2.77077;0.426782 0.239517 2.77082;0.0781759 0.247471 2.8322;0.552265 0.0196905 2.77082;-0.0512626 0.0119797 2.91381;0.589977 0.222606 2.66866;-0.099787 0.218982 2.75783;0.586551 0.292514 2.64748;-0.112785 0.289589 2.71943;0.496714 -1.29118 2.67762;0.080074 -1.28726 2.70156;172;
1525195557332;0.243603 0.50985 2.80383;0.249699 0.34809 2.77183;0.249861 0.267079 2.77591;0.249273 0.0194583 2.77835;0.246895 -0.317363 2.77133;0.426762 0.239781 2.77093;0.0778062 0.248203 2.83114;0.55234 0.01974 2.77093;-0.0545647 0.0124323 2.91049;0.590193 0.222888 2.66996;-0.0999636 0.220026 2.75504;0.586621 0.29739 2.64662;-0.112123 0.290099 2.71827;0.496816 -1.29107 2.67763;0.080246 -1.28688 2.70182;173;
1525195557364;0.243939 0.511103 2.80315;0.249095 0.34963 2.77275;0.249346 0.268457 2.77676;0.249018 0.0203612 2.77895;0.246931 -0.31701 2.77161;0.426725 0.240042 2.77103;0.0773151 0.24871 2.83035;0.552345 0.0198289 2.77103;-0.0571155 0.0135783 2.90846;0.590331 0.223051 2.67073;-0.100367 0.221629 2.75152;0.586261 0.297438 2.64623;-0.112221 0.290749 2.71684;0.496951 -1.2912 2.67777;0.0801347 -1.28626 2.7018;174;
1525195557631;0.246557 0.512825 2.79981;0.249661 0.350576 2.77274;0.249858 0.269365 2.77685;0.249431 0.0211943 2.77936;0.247345 -0.316268 2.77244;0.42728 0.240746 2.77067;0.0773642 0.250623 2.82584;0.551904 0.0202348 2.77067;-0.062408 0.0183744 2.89988;0.590472 0.223444 2.67088;-0.100096 0.228822 2.74358;0.587937 0.297674 2.64541;-0.107855 0.300395 2.70793;0.497029 -1.28928 2.67902;0.0801591 -1.28581 2.70133;175;
1525195557664;0.24787 0.513985 2.79809;0.249878 0.351529 2.77245;0.250073 0.270217 2.77671;0.249666 0.0218222 2.77954;0.247749 -0.315814 2.77307;0.427526 0.241121 2.77045;0.077555 0.252047 2.82274;0.551765 0.020566 2.77045;-0.0624142 0.01931 2.89891;0.590463 0.223963 2.67103;-0.10006 0.230183 2.74084;0.589236 0.298244 2.64605;-0.10749 0.304942 2.70674;0.497172 -1.28996 2.68059;0.0802749 -1.28593 2.70169;176;
1525195557751;0.249011 0.514648 2.79718;0.250086 0.35181 2.77209;0.250279 0.270491 2.77647;0.24992 0.0221174 2.77957;0.248296 -0.315385 2.77359;0.427924 0.241556 2.76995;0.0775633 0.252881 2.82103;0.551122 0.0207937 2.76995;-0.0645682 0.0222348 2.89349;0.590702 0.224734 2.67074;-0.0994709 0.233294 2.73862;0.592033 0.297895 2.64369;-0.107367 0.305673 2.70578;0.497916 -1.29112 2.67927;0.0797685 -1.28622 2.70062;177;
1525195557865;0.249699 0.514745 2.79645;0.25015 0.351843 2.77203;0.250374 0.270556 2.7764;0.250157 0.0223155 2.7795;0.248839 -0.314987 2.77347;0.428303 0.24192 2.76923;0.0777003 0.253443 2.81931;0.5507 0.0207411 2.76923;-0.0520363 0.0377262 2.87349;0.590856 0.22497 2.67035;-0.0991546 0.233569 2.73762;0.591924 0.297304 2.64101;-0.105181 0.311772 2.70332;0.497854 -1.29107 2.6792;0.0797013 -1.28617 2.70062;178;
